task_id,domain,difficulty,model,agent,provider,provider_model,parse_status,json_repair_strategy,json_repair_attempts,llm_error,parsed,fallback,attempts,latency_s,prompt_chars,raw_output_chars,prompt_tokens,completion_tokens,total_tokens
calendar_049,calendar,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,10.510110199997143,3200.0,1553.0,662.0,750.0,1412.0
calendar_029,calendar,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,9.123451800005569,3200.0,1144.0,663.0,595.0,1258.0
calendar_048,calendar,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,5.925477899996622,3200.0,667.0,668.0,342.0,1010.0
calendar_027,calendar,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,7.962246600000071,3200.0,1096.0,662.0,558.0,1220.0
calendar_030,calendar,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,10.639613799998187,3200.0,1478.0,663.0,807.0,1470.0
calendar_068,calendar,L3,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,10.415811899998516,3200.0,1304.0,665.0,685.0,1350.0
calendar_081,calendar,L3,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,13.832568700003321,3200.0,1795.0,662.0,992.0,1654.0
calendar_060,calendar,L3,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,13.321674200000416,3200.0,891.0,671.0,959.0,1630.0
calendar_045,calendar,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,11.509132400002272,3200.0,1720.0,666.0,848.0,1514.0
calendar_054,calendar,L2,deepseek_v4_flash,direct_token_matched,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,7.808566899999278,3200.0,1637.0,663.0,519.0,1182.0
