task_id,domain,difficulty,model,agent,provider,provider_model,parse_status,json_repair_strategy,json_repair_attempts,llm_error,parsed,fallback,attempts,latency_s,prompt_chars,raw_output_chars,prompt_tokens,completion_tokens,total_tokens
calendar_026,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,12.884231500000169,2016.0,1169.0,456.0,603.0,1059.0
calendar_048,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,11.466265600000042,2006.0,1286.0,458.0,520.0,978.0
calendar_056,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,22.502798199999233,2033.0,967.0,462.0,1276.0,1738.0
calendar_065,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,10.85640820000117,2050.0,1216.0,463.0,489.0,952.0
calendar_044,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,17.58080770000015,1988.0,1893.0,456.0,953.0,1409.0
calendar_045,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,16.393099099997926,1993.0,1717.0,454.0,813.0,1267.0
calendar_050,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,11.176922200000263,2029.0,1022.0,455.0,557.0,1012.0
calendar_084,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,12.102744599997095,1980.0,1246.0,452.0,607.0,1059.0
calendar_078,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,12.494352400000935,2033.0,1443.0,455.0,641.0,1096.0
calendar_054,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,10.56233290000091,1981.0,1597.0,449.0,501.0,950.0
calendar_041,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,13.9948973999999,2014.0,1626.0,455.0,720.0,1175.0
calendar_031,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,14.433764199999132,1983.0,1112.0,450.0,694.0,1144.0
calendar_069,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,14.494186300002184,2080.0,1701.0,464.0,689.0,1153.0
calendar_081,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,13.739293099999486,2000.0,1734.0,452.0,732.0,1184.0
calendar_080,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,14.451677799999743,2001.0,1298.0,455.0,710.0,1165.0
calendar_028,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,15.416861899997457,1994.0,1636.0,456.0,809.0,1265.0
calendar_058,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,15.174864499997057,2043.0,1979.0,461.0,793.0,1254.0
calendar_024,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,15.348862699996971,1988.0,1667.0,454.0,800.0,1254.0
calendar_046,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,16.67353860000003,2008.0,1284.0,454.0,900.0,1354.0
